Property ID;Name;Description;Category;Metric;Has Accepted Values;Accepted Value
30;Listing Non-Personally Identifiable Information;The IoT-Product provides functionality to list non-personally identifiable information (NPII) collected from IoT sensors or other sources. NPII include, for instance, temperature, humidity, and other similar metrics that do not directly identify an individual but can become personally identifiable when combined with other datasets;Transparency Information;provided list of NPII collected by the product;false;
31;(Security) Update Status Display;The IoT-Product provides functionality for users to gain an overview of the current system's update status.;Transparency Function;list of provided information regarding the update status;false;
32;Exploration Functionality;The IoT-Product provides functionality for users to browse specific system interactions, e.g., a list of communications within the system, a list of all communications over the internet, or visualizations of activities. ;Transparency Function;list of system interactions the user can browse;false;
33;Investigation Functionality;The IoT-Product features a log of events including errors, updates etc. This feature would allow for in-depth tracking and thoroughly investigation of occurring issues.;Transparency Function;list of all events that get logged;false;
34;Being Notified When Something Needs Attention;The IoT-Product triggers notifications when users' attention is needed (e.g., in case of information being sent over the internet, errors occur, in case of abnormal or suspicious occurrences;Transparency Function;list of events that trigger notifications;false;
36;User Control;The IoT-Product offers to manage multiple authorized users.;Control Function;the product {can / can not} manage multiple authorized users;true;the product can manage multiple authorized users, the product cannot manage multiple authorized users
39;User Interaction and Engagement;The IoT-Product offers an appropriate user interface (e.g. through an app or a web application) ;Control Function;list of provided interface options;false;
40;Privacy Enhancing Technologies;The IoT-Product features PETs to safeguard users' privacy;Implementation Detail;list of used privacy enhancing technologies;false;
41;Data Portability;The IoT-Product / related service features portability functions to migrate from/to other products;Control Function;list of portability options;false;
42;Backend Service Demands;The IoT-Product requires connection to a specific backend service;Implementation Detail;list of necessary backend services;false;
43;Updateability;The IoT-Product features an update functionality and specifies the planned lifetime;Implementation Detail;end of lifetime date / lifetime duration;false;
44;History of Data Leakage;Documented data leaks in connection with the IoT product;Transparency Information;list of documented data leaks associated with the service provider;false;
45;Privacy Breaches;There are currently known data breaches associated with the IoT product.;Transparency Information;list of known data breaches associated with the service provider;false;
46;Open Source;Which part of the IoT product is based on IoT software;Implementation Detail;list of open source software components used in the product;false;
47;TLS Certificate Validation;The IoT-Product uses secure communication channels and validates server certificates;Implementation Detail;the product {does / does not} use secure communication channels;true;the product does use secure communication channels, the product does not use secure communication channels
50;Duration and the Company/Entity of Data Being Stored;The IoT-Product should clearly specify the duration for which the data is stored and identify the company or entity responsible for storing it;Transparency Information;list of stored data type, storage duration and responsible entity;false;
51;Purpose of Data Being Collected;The IoT-Product provides a detailed explanation of the reasons for collecting the data;Transparency Information;list of processing purposes;false;
52;Frequency of Data Being Sent;The IoT-Product indicates how often the data is transmitted;Transparency Information;list of collected data type and transmission frequency;false;
53;Data Processing Outside the EU;The IoT-Product indicates whether data is being transmitted outside the EU;Transparency Information;list of data being transmitted outside the EU;false;
54;Location of Data Being Sent To;The IoT-Product indicates to which location (company & country) data is being transmitted;Transparency Information;list of data recipients with country;false;
55;Controllable Discovery Function;The IoT product lets the user decide whether or not to automatically search for other devices on the network;Implementation Detail;the product {does / does not} allow users to control if the product should search for / connect with other devices in the network;true;the product does allow users to control if the product should search for / connect with other devices in the network, the product does not allow users to control if the product should search for / connect with other devices in the network
56;On-device Data Processing;The data is preferably processed locally.;Implementation Detail;the product {does / does not} process data locally by default;true;the product does process data locally by default, the product does not process data locally by default
57;Account Required for Device Bootstrapping;An account is required to set up the IoT device.;Implementation Detail;the product {does / does not} need an account to be used;true;the product does need an account to be used, the product does not need an account to be used
59;Ensure Informed Consent to Changes in Data Processing; An interface enables users to compare current and new terms side-by-side with highlighted changes. This ensures informed consent.;Transparency Function;the product provides the functionality to compare current and new Privacy Policy;false;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
